common-io,,,,,,,,,,,,,,,,,
Code Coverage,MI,Complexity,Mutation Score,Defect,RANK_CODE_COVEREAGE,RANK-MI,RANK_COMPLEXITY,RANK_MUT,RANK_DEFECT,diff_Code_Complexity,diff_Code_Complexity_sq,diff_Code_MUT,diff_Code_MUT_sq,diff_MI_Defect,diff_MI_Defect_sq,diff_Code_Defect,diff_Code_Defect_Sq
89.2,65.3112813,1.84,82,8.38806,5,4,2,6,6,3,9,1,1,2,4,1,1
89.2,69.34929972,1.83,79,8.71318,5,11,1,4,7,4,16,1,1,4,16,2,4
89.2,68.37315075,1.84,75,8.71318,5,9,2,3,7,3,9,2,4,2,4,2,4
88.4,74.51427926,1.85,82,8.71318,4,13,3,6,7,1,1,2,4,6,36,3,9
89.5,65.84537563,1.83,80,8.71318,6,8,1,5,7,5,25,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,
common-codec,,,,,,,,,,,,,,,,,
94.8,65.42703334,1.89,88,2.65906,10,5,4,8,1,6,36,2,4,4,16,9,81
95,69.43601814,2.04,80,3.22886,11,12,8,5,2,3,9,6,36,10,100,9,81
92.9,68.89013312,1.99,85,3.22886,7,10,7,7,2,0,0,0,0,8,64,5,25
94.1,65.77762332,1.92,82,3.22886,8,7,5,6,2,3,9,2,4,5,25,6,36
94.2,65.62086983,1.89,82,3.22886,9,6,4,6,2,5,25,3,9,4,16,7,49
,,,,,,,,,,,,,,,,,
Jfree Chart,,,,,,,,,,,,,,,,,
61,38.79731,2.06,8,4.80708,3,3,9,1,5,6,36,2,2,2,4,2,4
58.3,36.5764,1.94,9,4.51528,2,1,6,2,4,4,16,0,0,3,9,2,4
54.8,37.8123,1.99,8,3.36233,1,2,7,1,3,6,36,0,0,1,1,2,4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,227,,66,,296,,303
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1362,,396,,1776,,1818
,,,,,,,,,,,2184,,2184,,2184,,2184
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.623626374,,0.181318681,,0.813186813,,0.832417582
,,,,,,,,,,Co-Relation_Coverage_Complexity,0.376373626,Co-Relation_Coverage_MUT,0.818681319,Co-Relation_MI_Defect,0.186813187,Co-Relation_Code_Defect,0.167582418
,,,,,Co-Relation_Coverage_Complexity,0.376373626,,,,,,,,,,,
,,,,,Co-Relation_Coverage_MUT,0.818681319,,,,,,,,,,,
,,,,,Co-Relation_MI_Defect,0.186813187,,,,,,,,,,,
,,,,,Co-Relation_Code_Defect,0.167582418,,,,,,,,,,,
